Loading parameters

Initial system energy
-102740.39344255207 kJ/mol

MD run: 10000000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
14.8%	1485000	1384.9999999743432	-102023.09374152496	204.93362938840866	132	1:32:53
14.9%	1490000	1389.999999974225	-102743.2027749964	204.75951248006265	132	1:32:49
14.9%	1495000	1394.9999999741067	-102256.43332190346	205.4538763459539	132	1:32:45
15.0%	1500000	1399.9999999739885	-102640.5346960323	204.20048024276315	132	1:32:41
15.1%	1505000	1404.9999999738702	-101849.96908696368	196.76426358729165	132	1:32:37
15.1%	1510000	1409.999999973752	-102481.72448357334	203.81424834779313	132	1:32:34
15.2%	1515000	1414.9999999736337	-102756.37016244885	200.581091801035	132	1:32:29
15.2%	1520000	1419.9999999735155	-102192.4900168539	199.91133758539345	132	1:32:26
15.2%	1525000	1424.9999999733973	-102911.11739486502	200.53693259999383	132	1:32:22
15.3%	1530000	1429.999999973279	-101972.65759124793	204.05300656334188	132	1:32:18
15.3%	1535000	1434.9999999731608	-102168.73578184657	207.0237718647385	132	1:32:14
15.4%	1540000	1439.9999999730426	-102399.14177775057	201.4521622562774	132	1:32:10
15.4%	1545000	1444.9999999729243	-102377.50578628527	205.6290734429349	132	1:32:06
15.5%	1550000	1449.999999972806	-102191.54923750507	200.2315212184782	132	1:32:02
15.6%	1555000	1454.9999999726879	-102029.28922372917	200.94792072418284	132	1:31:59
15.6%	1560000	1459.9999999725696	-102216.2260270291	198.46541807366486	132	1:31:55
15.7%	1565000	1464.9999999724514	-102425.85791389365	204.07062416238426	132	1:31:51
15.7%	1570000	1469.9999999723332	-102121.00041768374	203.44256333500437	132	1:31:47
15.8%	1575000	1474.999999972215	-102544.80393767031	203.144237143714	132	1:31:43
15.8%	1580000	1479.9999999720967	-102511.28130355291	197.18899474779553	132	1:31:39
15.8%	1585000	1484.9999999719785	-101589.71281677485	199.6001429615262	132	1:31:35
15.9%	1590000	1489.9999999718602	-102636.90413329704	202.5091345555467	132	1:31:31
15.9%	1595000	1494.999999971742	-102220.13657665905	200.6481314634962	132	1:31:28
16.0%	1600000	1499.9999999716238	-102533.85607354576	202.01634214484318	132	1:31:24
16.1%	1605000	1504.9999999715055	-102269.83044125512	202.96256884909155	132	1:31:20
16.1%	1610000	1509.9999999713873	-102095.42784179188	203.8914695339627	132	1:31:16
16.1%	1615000	1514.999999971269	-102222.70240876963	201.5530304268202	132	1:31:13
16.2%	1620000	1519.9999999711508	-101631.84239134844	202.0324133083829	132	1:31:09
16.2%	1625000	1524.9999999710326	-102291.57221692568	201.7506067467695	132	1:31:05
16.3%	1630000	1529.9999999709144	-102370.41526911454	202.7932349950797	132	1:31:01
16.4%	1635000	1534.9999999707961	-102238.45394805167	206.24292948299498	132	1:30:57
16.4%	1640000	1539.999999970678	-102331.14391006669	204.63225690596332	132	1:30:54
16.4%	1645000	1544.9999999705597	-101892.32261635317	198.34458301865118	132	1:30:50
16.5%	1650000	1549.9999999704414	-102232.79940260621	199.3184609780577	132	1:30:46
16.6%	1655000	1554.9999999703232	-102568.993555272	202.18972210318015	132	1:30:42
16.6%	1660000	1559.999999970205	-102182.77788293734	198.92476376592893	132	1:30:39
16.6%	1665000	1564.9999999700867	-102289.76636655675	202.8139756786567	132	1:30:35
16.7%	1670000	1569.9999999699685	-102770.94290662277	202.71005144394474	133	1:30:31
16.8%	1675000	1574.9999999698503	-102619.13818966318	200.97905357241055	133	1:30:27
16.8%	1680000	1579.999999969732	-102639.87198704155	204.28563664844995	133	1:30:23
16.9%	1685000	1584.9999999696138	-102213.6685231966	198.12007594137626	133	1:30:20
16.9%	1690000	1589.9999999694955	-102519.31174810138	201.84369985877714	133	1:30:16
16.9%	1695000	1594.9999999693773	-102498.3658405086	198.42461281837853	133	1:30:12
17.0%	1700000	1599.999999969259	-102064.94235525327	204.14950860182728	133	1:30:08
17.1%	1705000	1604.9999999691408	-103069.96612179512	205.45260312186934	133	1:30:05
17.1%	1710000	1609.9999999690226	-102115.93264858471	198.60610019140375	133	1:30:01
17.1%	1715000	1614.9999999689044	-102347.94892766839	198.0354475087745	133	1:29:57
17.2%	1720000	1619.9999999687861	-102195.51495749597	198.62689905450674	133	1:29:53
