Loading parameters

Initial system energy
-102593.86190879252 kJ/mol

MD run: 10000000 steps
#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
14.7%	1465000	1364.999999974816	-103544.6626376356	200.38985328463193	131	1:34:09
14.7%	1470000	1369.9999999746979	-102401.14056890039	198.27337396458276	131	1:34:06
14.8%	1475000	1374.9999999745796	-103117.89763616212	198.80366228421326	131	1:34:03
14.8%	1480000	1379.9999999744614	-102913.38742341241	201.04004486820853	131	1:33:59
14.8%	1485000	1384.9999999743432	-102425.87963664345	203.99794633119927	131	1:33:56
14.9%	1490000	1389.999999974225	-102691.70599130588	204.34423345296358	131	1:33:52
14.9%	1495000	1394.9999999741067	-102649.54252835736	200.53317957740137	131	1:33:49
15.0%	1500000	1399.9999999739885	-102380.7207836262	199.39112937551428	131	1:33:45
15.1%	1505000	1404.9999999738702	-102428.50343835913	201.36127038597414	131	1:33:42
15.1%	1510000	1409.999999973752	-102567.46364643145	203.40922247516986	131	1:33:39
15.2%	1515000	1414.9999999736337	-103112.8222928727	199.32972035233092	131	1:33:35
15.2%	1520000	1419.9999999735155	-102532.55533798598	204.03765745231237	131	1:33:32
15.2%	1525000	1424.9999999733973	-102722.77689686883	202.65253581767868	131	1:33:28
15.3%	1530000	1429.999999973279	-102606.9987296192	202.14895759660294	131	1:33:25
15.3%	1535000	1434.9999999731608	-102740.08968842309	202.13367353028673	131	1:33:21
15.4%	1540000	1439.9999999730426	-103270.97210508678	201.3692833946293	131	1:33:18
15.4%	1545000	1444.9999999729243	-102546.45979414973	206.09945773503037	131	1:33:14
15.5%	1550000	1449.999999972806	-101830.35173917096	197.53571692520055	131	1:33:11
15.6%	1555000	1454.9999999726879	-102938.8542806576	199.38420705040184	131	1:33:08
15.6%	1560000	1459.9999999725696	-102825.90929933172	202.85397978628004	131	1:33:04
15.7%	1565000	1464.9999999724514	-102424.47597219655	203.53971776959634	131	1:33:01
15.7%	1570000	1469.9999999723332	-102626.23612091271	201.2619128893591	131	1:32:57
15.8%	1575000	1474.999999972215	-102321.67021246254	196.8304166682077	131	1:32:54
15.8%	1580000	1479.9999999720967	-102350.18642327515	199.79565278495323	131	1:32:50
15.8%	1585000	1484.9999999719785	-102740.97523052245	205.2118437389265	131	1:32:47
15.9%	1590000	1489.9999999718602	-102915.87835117802	203.1383994507063	131	1:32:43
15.9%	1595000	1494.999999971742	-102805.51528475061	200.75982278301896	131	1:32:40
16.0%	1600000	1499.9999999716238	-103019.10926293256	203.7797328860108	131	1:32:37
16.1%	1605000	1504.9999999715055	-103036.8326049964	202.38495157370053	131	1:32:33
